Categoría del Producto,tienda,tienda2,tienda3,tienda4
Artículos para el hogar,12698400.0,14746900.0,15060000.0,15074500.0
Deportes y diversión,39290000.0,34744500.0,35593100.0,33350100.0
Electrodomésticos,363685200.0,348567800.0,329237900.0,283260200.0
Electrónicos,429493500.0,410831100.0,410775800.0,409476100.0
Instrumentos musicales,91299000.0,104990300.0,77380900.0,75102400.0
Juguetes,17995700.0,15945400.0,19401100.0,20262200.0
Libros,8784900.0,10091200.0,9498700.0,9321300.0
Muebles,187633700.0,176426300.0,201072100.0,192528900.0
TOTAL GENERAL,1150880400.0,1116343500.0,1098019600.0,1038375700.0
VARIACIÓN % VS LÍDER,0.0,-3.000911302338627,-4.5930750058824525,-9.775533582811907
